2026-07-22 23:20:19,100 | INFO | ai_data_analyst.app.routes.upload | Receiving upload request: NETFLIX.xlsx
2026-07-22 23:20:19,103 | INFO | ai_data_analyst.app.routes.upload | Dataset saved to C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 23:20:19,104 | INFO | ai_data_analyst.app.services.dataset_service | Loading dataset: C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 23:20:19,104 | INFO | ai_data_analyst.app.services.dataset_loader_service | Loading dataset 'NETFLIX.xlsx'
2026-07-22 23:20:20,752 | INFO | ai_data_analyst.app.services.dataset_loader_service | Dataset 'NETFLIX.xlsx' loaded successfully. Rows=6234 Columns=12
2026-07-22 23:20:20,752 | INFO | ai_data_analyst.app.common.timing | DatasetLoaderService.load executed in 1.6480 seconds
2026-07-22 23:20:20,754 | INFO | ai_data_analyst.app.services.dataset_service | Dataset cached successfully.
2026-07-22 23:20:20,754 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Generating metadata for dataset 'NETFLIX.xlsx'.
2026-07-22 23:20:20,791 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Metadata generated successfully.
2026-07-22 23:20:20,791 | INFO | ai_data_analyst.app.common.timing | DatasetMetadataService.generate executed in 0.0369 seconds
2026-07-22 23:20:20,792 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata generated.
2026-07-22 23:20:20,792 | INFO | ai_data_analyst.app.services.dataset_profile_service | Generating dataset profile.
2026-07-22 23:20:20,809 | INFO | ai_data_analyst.app.services.dataset_profile_service | Dataset profile generated successfully.
2026-07-22 23:20:20,809 | INFO | ai_data_analyst.app.common.timing | DatasetProfileService.generate executed in 0.0173 seconds
2026-07-22 23:20:20,809 | INFO | ai_data_analyst.app.services.dataset_service | Dataset profile generated.
2026-07-22 23:20:20,809 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Generating dataset statistics.
2026-07-22 23:20:20,845 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Dataset statistics generated successfully.
2026-07-22 23:20:20,845 | INFO | ai_data_analyst.app.common.timing | DatasetStatisticsService.generate executed in 0.0355 seconds
2026-07-22 23:20:20,845 | INFO | ai_data_analyst.app.services.dataset_service | Dataset statistics generated.
2026-07-22 23:20:20,846 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata saved.
2026-07-22 23:20:20,847 | INFO | ai_data_analyst.app.common.timing | DatasetService.load_dataset executed in 1.7431 seconds
2026-07-22 23:20:20,847 | INFO | ai_data_analyst.app.routes.upload | Dataset uploaded successfully.
2026-07-22 23:20:20,849 | INFO | ai_data_analyst.app.common.timing | upload_dataset executed in 1.7487 seconds
2026-07-22 23:24:08,363 | INFO | ai_data_analyst.app.routes.analysis | Executing analysis operation: summary
2026-07-22 23:24:08,363 | INFO | ai_data_analyst.app.services.analysis_engine | Generating complete dataset summary.
2026-07-22 23:24:08,363 | INFO | ai_data_analyst.app.services.analysis_engine | Retrieving active dataset.
2026-07-22 23:24:08,497 | INFO | ai_data_analyst.app.services.analysis_engine | Complete dataset summary generated successfully.
2026-07-22 23:24:08,498 | INFO | ai_data_analyst.app.common.timing | AnalysisEngine.summary executed in 0.1344 seconds
2026-07-22 23:24:08,498 | INFO | ai_data_analyst.app.routes.analysis | Analysis operation 'summary' completed.
2026-07-22 23:24:08,498 | INFO | ai_data_analyst.app.common.timing | execute executed in 0.1351 seconds
2026-07-22 23:35:04,686 | INFO | ai_data_analyst.app.routes.upload | Receiving upload request: NETFLIX.xlsx
2026-07-22 23:35:04,689 | INFO | ai_data_analyst.app.routes.upload | Dataset saved to C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 23:35:04,690 | INFO | ai_data_analyst.app.services.dataset_service | Loading dataset: C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 23:35:04,690 | INFO | ai_data_analyst.app.services.dataset_loader_service | Loading dataset 'NETFLIX.xlsx'
2026-07-22 23:35:05,756 | INFO | ai_data_analyst.app.services.dataset_loader_service | Dataset 'NETFLIX.xlsx' loaded successfully. Rows=6234 Columns=12
